feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition_no_department,raw,3,9,0.8,0.9,22,0.8437788165558193,0.7727272727272727,0.07105154382854661
no_salary_hike_no_attrition_no_department,raw,3,10,0.9,1.0,61,0.9533113574552083,0.8688524590163934,0.08445889843881493
no_salary_hike_no_attrition_no_department,raw,4,1,0.0,0.1,83,0.038667763614776286,0.08433734939759036,0.04566958578281407
no_salary_hike_no_attrition_no_department,raw,4,2,0.1,0.2,21,0.14860208841272488,0.14285714285714285,0.005744945555582026
no_salary_hike_no_attrition_no_department,raw,4,3,0.2,0.30000000000000004,9,0.25181878443707684,0.3333333333333333,0.08151454889625648
no_salary_hike_no_attrition_no_department,raw,4,4,0.30000000000000004,0.4,4,0.3427022857951451,0.0,0.3427022857951451
no_salary_hike_no_attrition_no_department,raw,4,5,0.4,0.5,1,0.44642368281239975,0.0,0.44642368281239975
no_salary_hike_no_attrition_no_department,raw,4,6,0.5,0.6000000000000001,2,0.5499655985305304,0.0,0.5499655985305304
no_salary_hike_no_attrition_no_department,sigmoid,2,1,0.0,0.1,94,0.01015534485190557,0.02127659574468085,0.01112125089277528
no_salary_hike_no_attrition_no_department,sigmoid,2,2,0.1,0.2,3,0.10449432842406886,0.0,0.10449432842406886
no_salary_hike_no_attrition_no_department,sigmoid,2,3,0.2,0.30000000000000004,4,0.23079226610151984,0.25,0.019207733898480156
no_salary_hike_no_attrition_no_department,sigmoid,2,4,0.30000000000000004,0.4,1,0.3156643475945742,0.0,0.3156643475945742
no_salary_hike_no_attrition_no_department,sigmoid,2,5,0.4,0.5,2,0.4690080315402745,1.0,0.5309919684597255
no_salary_hike_no_attrition_no_department,sigmoid,2,6,0.5,0.6000000000000001,2,0.5742085999526191,1.0,0.4257914000473809
no_salary_hike_no_attrition_no_department,sigmoid,2,7,0.6000000000000001,0.7000000000000001,3,0.6734887213363564,0.6666666666666666,0.00682205466968977
no_salary_hike_no_attrition_no_department,sigmoid,2,8,0.7000000000000001,0.8,9,0.7316085948168433,1.0,0.26839140518315674
no_salary_hike_no_attrition_no_department,sigmoid,2,9,0.8,0.9,2,0.8598425155173692,1.0,0.14015748448263077
no_salary_hike_no_attrition_no_department,sigmoid,3,2,0.1,0.2,3,0.12046089705079908,0.0,0.12046089705079908
no_salary_hike_no_attrition_no_department,sigmoid,3,3,0.2,0.30000000000000004,11,0.2336723869814689,0.09090909090909091,0.14276329607237798
no_salary_hike_no_attrition_no_department,sigmoid,3,4,0.30000000000000004,0.4,2,0.3487503453159191,0.0,0.3487503453159191
no_salary_hike_no_attrition_no_department,sigmoid,3,5,0.4,0.5,2,0.4513338864409494,0.0,0.4513338864409494
no_salary_hike_no_attrition_no_department,sigmoid,3,6,0.5,0.6000000000000001,1,0.5489738208877241,1.0,0.45102617911227594
no_salary_hike_no_attrition_no_department,sigmoid,3,7,0.6000000000000001,0.7000000000000001,5,0.6465508958265783,1.0,0.3534491041734217
no_salary_hike_no_attrition_no_department,sigmoid,3,8,0.7000000000000001,0.8,18,0.7567620560146743,0.7777777777777778,0.021015721763103512
no_salary_hike_no_attrition_no_department,sigmoid,3,9,0.8,0.9,46,0.8565153317842824,0.8260869565217391,0.030428375262543272
no_salary_hike_no_attrition_no_department,sigmoid,3,10,0.9,1.0,32,0.9223573372772946,0.875,0.04735733727729463
no_salary_hike_no_attrition_no_department,sigmoid,4,1,0.0,0.1,59,0.06701306702323245,0.05084745762711865,0.016165609396113806
no_salary_hike_no_attrition_no_department,sigmoid,4,2,0.1,0.2,46,0.13998196391116577,0.15217391304347827,0.012191949132312502
no_salary_hike_no_attrition_no_department,sigmoid,4,3,0.2,0.30000000000000004,12,0.23284693404597778,0.25,0.017153065954022217
no_salary_hike_no_attrition_no_department,sigmoid,4,4,0.30000000000000004,0.4,3,0.34812736591109444,0.0,0.34812736591109444
no_salary_hike_no_attrition_no_department,isotonic,2,1,0.0,0.1,97,0.008769421593360792,0.020618556701030927,0.011849135107670135
no_salary_hike_no_attrition_no_department,isotonic,2,2,0.1,0.2,5,0.18718654433238296,0.2,0.012813455667617046
no_salary_hike_no_attrition_no_department,isotonic,2,4,0.30000000000000004,0.4,1,0.39272042669316337,1.0,0.6072795733068366
no_salary_hike_no_attrition_no_department,isotonic,2,7,0.6000000000000001,0.7000000000000001,1,0.6887132054083945,1.0,0.31128679459160546
no_salary_hike_no_attrition_no_department,isotonic,2,8,0.7000000000000001,0.8,1,0.7550745918963472,1.0,0.24492540810365282
no_salary_hike_no_attrition_no_department,isotonic,2,9,0.8,0.9,13,0.8573672408293451,0.9230769230769231,0.065709682247578
no_salary_hike_no_attrition_no_department,isotonic,2,10,0.9,1.0,2,0.9743589648652203,1.0,0.025641035134779666
no_salary_hike_no_attrition_no_department,isotonic,3,1,0.0,0.1,16,0.08234962407576409,0.0625,0.019849624075764086
