feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,sigmoid,6,0.85,0.6376285541439807,0.5953856295319709,0.7974027686222809,0.5584415584415584,0.750974025974026,0.6376285541439807,0.85,0.15833333333333333,0.6050156739811913,0.9916666666666667,0.008333333333333333,0.4708282558423793,0.26820450022783776,0.037617585683187175
no_salary_hike_no_attrition,isotonic,6,0.85,0.6376285541439807,0.5953856295319709,0.7974027686222809,0.5584415584415584,0.750974025974026,0.6376285541439807,0.85,0.15833333333333333,0.6050156739811913,0.9916666666666667,0.008333333333333333,0.8381740659074881,0.2669353751172218,0.03655663878909527
no_salary_hike_no_attrition,raw,7,0.8583333333333333,0.6385057471264367,0.611645792133597,0.8128499230938255,0.5873015873015873,0.7722222222222221,0.6385057471264367,0.8583333333333333,0.14166666666666666,0.6772151898734178,1.0,0.0,0.47029880242233896,0.26721831616989217,0.10648125784210437
no_salary_hike_no_attrition,sigmoid,7,0.8666666666666667,0.6423371647509578,0.6136025876387796,0.8171059533175977,0.5877825877825877,0.7732683982683982,0.6423371647509578,0.8666666666666667,0.13333333333333333,0.6896217264791464,1.0,0.0,0.42896676298086456,0.24509120739524878,0.05917247714591356
no_salary_hike_no_attrition,isotonic,7,0.8583333333333333,0.6385057471264367,0.611645792133597,0.8128499230938255,0.5873015873015873,0.7722222222222221,0.6385057471264367,0.8583333333333333,0.14166666666666666,0.6772151898734178,1.0,0.0,0.6677177286263791,0.24119976957107409,0.034150212548109626
no_salary_hike_no_attrition,raw,8,0.85,0.6090038314176245,0.5996640537513999,0.8047079134005225,0.5953428676200954,0.7675559222588926,0.6090038314176245,0.85,0.15,0.6401199600133289,1.0,0.0,0.48977453447914965,0.2746240917402562,0.10651353290142349
no_salary_hike_no_attrition,sigmoid,8,0.8583333333333333,0.6128352490421456,0.6015965840527243,0.8089111668059036,0.5958605664488017,0.768681917211329,0.6128352490421456,0.8583333333333333,0.14166666666666666,0.6523517382413089,1.0,0.0,0.471740783337769,0.2701109750296104,0.09804319911611728
no_salary_hike_no_attrition,isotonic,8,0.85,0.6090038314176245,0.5996640537513999,0.8047079134005225,0.5953428676200954,0.7675559222588926,0.6090038314176245,0.85,0.15,0.6401199600133289,1.0,0.0,0.45329960741706105,0.26027307209367123,0.07514586829934035
no_salary_hike_no_attrition,raw,9,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,1.0,0.0,0.5824282800148187,0.3041864928578281,0.11648302650150962
no_salary_hike_no_attrition,sigmoid,9,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,1.0,0.0,0.5015357818147604,0.2850441834294405,0.0470230409617136
