run_id,config_hash,dataset_key,task_type,task_comparison_group,role,policy,feature_set,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa,ordinal_mae,nll_log_loss,ece_confidence,binary_brier,roc_auc,average_precision,multiclass_brier
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,1,147,0.8435374149659864,0.6046747967479675,0.6270270270270271,0.8184067449373572,0.7065508021390374,0.815044199497981,0.6046747967479675,0.8435374149659864,,,,,0.42509515345043547,0.06274298806536041,0.12407396638074707,0.744579945799458,0.432614677928854,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,2,147,0.8367346938775511,0.5670731707317074,0.5791984732824427,0.8009035675338837,0.6780575539568345,0.7979738658053149,0.5670731707317074,0.8367346938775511,,,,,0.3698808352091303,0.0653620318910132,0.10420299755555626,0.8014905149051491,0.5459404815811271,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,3,147,0.8571428571428571,0.6295731707317074,0.6594594594594595,0.8341974627688913,0.7556818181818181,0.8360389610389611,0.6295731707317074,0.8571428571428571,,,,,0.38959192180597557,0.06828160374612194,0.11344263933134385,0.7987804878048781,0.5135189832075108,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,4,147,0.8775510204081632,0.6920731707317074,0.728001644736842,0.8638308941997852,0.8045112781954887,0.8652754334816634,0.6920731707317074,0.8775510204081632,,,,,0.3256613481122422,0.04695122535844679,0.09375161380647205,0.8309620596205961,0.6440131588713016,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,5,147,0.8775510204081632,0.6417682926829268,0.6843988549618321,0.8506776756504129,0.8763489208633093,0.8772573777712523,0.6417682926829268,0.8775510204081632,,,,,0.30848487293599286,0.046353164035740094,0.09121079512096626,0.8689024390243902,0.6801958436073198,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,6,147,0.8639455782312925,0.6336382113821138,0.6674208144796381,0.8395973774125035,0.787956204379562,0.8471920154923284,0.6336382113821138,0.8639455782312925,,,,,0.3678505521111892,0.09318365866660111,0.10713682603988141,0.7923441734417345,0.5429148652198983,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,7,147,0.8775510204081632,0.6920731707317074,0.728001644736842,0.8638308941997852,0.8045112781954887,0.8652754334816634,0.6920731707317074,0.8775510204081632,,,,,0.29274606747907156,0.0572769172615786,0.08832694673045358,0.8794037940379403,0.6716271831411244,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,8,147,0.8707482993197279,0.604663394109397,0.6365647364996747,0.8370099894219236,0.8528368794326242,0.8662372750518648,0.604663394109397,0.8707482993197279,,,,,0.37813472959714156,0.059222589217235,0.10327343380510358,0.7738429172510519,0.5462260460485728,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,9,147,0.8707482993197279,0.6223702664796634,0.6574267140929719,0.8431636115748887,0.8138489208633093,0.8577179073068076,0.6223702664796634,0.8707482993197279,,,,,0.32462798019729994,0.024054430309532387,0.09522099648839648,0.8285413744740533,0.5948421220744101,
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,ibm_attrition,binary_attrition_transfer,related_binary_task_transfer,related HR attrition task transfer,department_free,department_free,xgboost,10,147,0.8639455782312925,0.6360448807854138,0.6674208144796381,0.8430756918151876,0.7593582887700534,0.8438648186547346,0.6360448807854138,0.8639455782312925,,,,,0.4290232154020643,0.06985047988748742,0.11265525371702616,0.7317671809256663,0.4690801505267185,
