dataset_key,schema_stage,column_position,column_name,pandas_dtype,source_column,transformation,missing_count,schema_sha256
hrdataset_v14,cleaned,20,HispanicLatino,str,HispanicLatino,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,21,RaceEthnicity,str,RaceDesc,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,22,DateOfHire,str,DateofHire,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,23,DateofTermination,str,DateofTermination,verified_and_string_values_trimmed_where_applicable,207,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,24,TermReason,str,TermReason,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,25,EmploymentStatus,str,EmploymentStatus,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,26,EmpDepartment,str,Department,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,27,ManagerName,str,ManagerName,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,28,ManagerID,float64,ManagerID,verified_and_string_values_trimmed_where_applicable,8,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,29,RecruitmentSource,str,RecruitmentSource,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,30,PerformanceScore,str,PerformanceScore,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,31,EngagementSurvey,float64,EngagementSurvey,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,32,EmpJobSatisfaction,int64,EmpSatisfaction,renamed_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,33,SpecialProjectsCount,int64,SpecialProjectsCount,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,34,LastPerformanceReview_Date,str,LastPerformanceReview_Date,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,35,DaysLateLast30,int64,DaysLateLast30,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,36,Absences,int64,Absences,verified_and_string_values_trimmed_where_applicable,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,37,ExternalSampleId,int64,<generated>,generated_zero_based_row_key_excluded_from_models,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,38,ExperienceYearsAtThisCompany,float64,DateofHire+LastPerformanceReview_Date,derived_review_minus_hire_years_negative_values_set_missing,2,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
hrdataset_v14,cleaned,39,PerformanceRating,int64,PerformanceScore,mapped_from_raw_performance_score_to_ordered_2_3_4,0,8c3c4ed873921ba1df5d2eeadaee7fa1705ee173a0b94ce1deb543c9c4c8df3e
