dataset_key,schema_stage,column_position,column_name,pandas_dtype,source_column,transformation,missing_count,schema_sha256
hrdataset_v14,raw,21,RaceDesc,str,RaceDesc,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,22,DateofHire,str,DateofHire,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,23,DateofTermination,str,DateofTermination,none_raw_profile,207,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,24,TermReason,str,TermReason,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,25,EmploymentStatus,str,EmploymentStatus,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,26,Department,str,Department,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,27,ManagerName,str,ManagerName,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,28,ManagerID,float64,ManagerID,none_raw_profile,8,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,29,RecruitmentSource,str,RecruitmentSource,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,30,PerformanceScore,str,PerformanceScore,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,31,EngagementSurvey,float64,EngagementSurvey,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,32,EmpSatisfaction,int64,EmpSatisfaction,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,33,SpecialProjectsCount,int64,SpecialProjectsCount,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,34,LastPerformanceReview_Date,str,LastPerformanceReview_Date,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,35,DaysLateLast30,int64,DaysLateLast30,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
hrdataset_v14,raw,36,Absences,int64,Absences,none_raw_profile,0,562d13699f75bba04c0e03f3b06305291508205972eec772216a2d27ef314a22
