feature_set,model,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,min_group_support_threshold
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,4.0,0.004137931034482759,0.0,0.009006029478732526,0.0023413870215906922,500,2,Female,475,0.0,Male,725,0.004137931034482759,30
no_salary_hike_no_attrition,xgboost,Gender,precision,2.0,0.07200000000000006,0.0053739623174610795,0.1583409637543768,0.041868041835033815,500,2,Male,725,0.848,Female,475,0.92,30
no_salary_hike_no_attrition,xgboost,Gender,precision,3.0,0.014103852596314859,0.001340876546229983,0.0604450098889684,0.01626751106340946,500,2,Male,725,0.8458961474036851,Female,475,0.86,30
no_salary_hike_no_attrition,xgboost,Gender,precision,4.0,0.0,0.0,0.0,0.0,478,1,Male,725,0.3333333333333333,Male,725,0.3333333333333333,30
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,2.0,0.02924369747899158,0.002220855878012793,0.11572472143195829,0.030826172311287904,500,2,Male,725,0.8907563025210085,Female,475,0.92,30
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,3.0,0.023768590530768186,0.0033797338758965213,0.044906223785410766,0.010511980963781968,500,2,Male,725,0.9619047619047619,Female,475,0.9856733524355301,30
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,4.0,0.012345679012345678,0.0,0.04054054054054054,0.01255595436857812,500,2,Female,475,0.0,Male,725,0.012345679012345678,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,accuracy,,0.03346548507462688,0.008228876328852028,0.08608740591494957,0.020571934541783184,500,3,Single,384,0.8359375,Divorced,268,0.8694029850746269,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,3.0,0.10793650793650789,0.030924839088081458,0.2704884272750782,0.06053014446597998,500,3,Married,548,0.4,Divorced,268,0.5079365079365079,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,2.0,0.0248241341991342,0.009123579730954588,0.04557952066529903,0.009442053583779544,500,3,Divorced,268,0.008658008658008658,Married,548,0.033482142857142856,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,4.0,0.004132231404958678,0.0,0.013484729123742576,0.003742145311432801,500,3,Married,548,0.0,Divorced,268,0.004132231404958678,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,macro_f1,,0.011152059348044863,0.004607861725607396,0.06631821183064707,0.015949011324005127,500,3,Single,384,0.5982087183266255,Married,548,0.6093607776746703,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,2.0,0.05950408019653884,0.02229124703041972,0.10595866322270156,0.022001390366087493,500,3,Divorced,268,0.12486208165234945,Married,548,0.1843661618488883,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,3.0,0.04738268287622993,0.01300858544710086,0.08981084599454503,0.01955296681667082,500,3,Married,548,0.7339701706791691,Divorced,268,0.7813528535553991,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,4.0,0.012121393350998905,0.0033778320674815385,0.02946014190931378,0.006461238132077822,500,3,Married,548,0.08166366891969877,Divorced,268,0.09378506227069767,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,2.0,0.07029632857609763,0.030190192264992487,0.11849493358016742,0.024597104382489177,500,3,Divorced,268,0.12313432835820895,Married,548,0.19343065693430658,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,3.0,0.06838980281076368,0.024277642876294577,0.11607952398038557,0.024693595423213338,500,3,Married,548,0.8047445255474452,Divorced,268,0.8731343283582089,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,4.0,0.0019065257653339144,0.0,0.011977290836653385,0.003035802905223511,500,3,Married,548,0.0018248175182481751,Divorced,268,0.0037313432835820895,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,4.0,1.0,0.0,1.0,0.49629558495900283,478,3,Divorced,268,0.0,Married,548,1.0,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,2.0,0.08090337335620357,0.027665517850830632,0.1985765815760265,0.045831650322390775,500,3,Married,548,0.8584905660377359,Divorced,268,0.9393939393939394,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,precision,3.0,0.03094972660190054,0.006898278834231356,0.09152010696121765,0.02238214319919729,500,3,Single,384,0.8322981366459627,Divorced,268,0.8632478632478633,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,2.0,0.09198672356567095,0.027846320346320345,0.2437045314765188,0.05591204759103508,500,3,Divorced,268,0.8378378378378378,Single,384,0.9298245614035088,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,3.0,0.020989263327747754,0.006588658188489017,0.04608412683879631,0.01034757977469353,500,3,Married,548,0.9643765903307888,Divorced,268,0.9853658536585366,30
no_salary_hike_no_attrition,xgboost,MaritalStatus,true_positive_rate,4.0,0.01818181818181818,0.0,0.061224489795918366,0.0187720695889551,500,3,Divorced,268,0.0,Married,548,0.01818181818181818,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,accuracy,,0.040700274742828,0.011210896148970074,0.11726131258416055,0.027355925758265603,500,3,Travel_Frequently,222,0.8198198198198198,Travel_Rarely,846,0.8605200945626478,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,3.0,0.0854821380607037,0.027514451714272314,0.2649400078678205,0.06408341591648681,500,3,Travel_Rarely,846,0.4292237442922374,Travel_Frequently,222,0.5147058823529411,30
no_salary_hike_no_attrition_no_department,xgboost,BusinessTravelFrequency,false_positive_rate,4.0,0.017543859649122806,0.0,0.04839575938725943,0.012971094373876444,500,3,Travel_Frequently,222,0.0,Non-Travel,132,0.017543859649122806,30
