feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Finance,49,False,2,0.9183673469387755,0.6458333333333334,15,15,0.30612244897959184,1.0,0.0,1.0,0.27757977625314734
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Finance,49,False,3,0.9183673469387755,0.6458333333333334,30,34,0.6938775510204082,1.0,0.21052631578947367,0.8823529411764706,0.6360353991313248
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Finance,49,False,4,0.9183673469387755,0.6458333333333334,4,0,0.0,0.0,0.0,,0.08638482845426367
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Human Resources,54,False,2,0.8333333333333334,0.5962962962962962,10,10,0.18518518518518517,0.9,0.022727272727272728,0.9,0.17436910570109762
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Human Resources,54,False,3,0.8333333333333334,0.5962962962962962,38,43,0.7962962962962963,0.9473684210526315,0.4375,0.8372093023255814,0.7280620456569724
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Human Resources,54,False,4,0.8333333333333334,0.5962962962962962,6,1,0.018518518518518517,0.0,0.020833333333333332,0.0,0.09756884406993373
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Research & Development,343,False,2,0.8600583090379009,0.6188569936130304,68,71,0.20699708454810495,0.9705882352941176,0.01818181818181818,0.9295774647887324,0.18913253942991484
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Research & Development,343,False,3,0.8600583090379009,0.6188569936130304,234,271,0.7900874635568513,0.9786324786324786,0.3853211009174312,0.8450184501845018,0.7162452396684199
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Research & Development,343,False,4,0.8600583090379009,0.6188569936130304,41,1,0.0029154518950437317,0.0,0.0033112582781456954,0.0,0.0946222204825659
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Sales,373,False,2,0.8632707774798928,0.6206524956524956,87,95,0.2546916890080429,0.9425287356321839,0.045454545454545456,0.8631578947368421,0.22633882544489375
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Sales,373,False,3,0.8632707774798928,0.6206524956524956,251,277,0.7426273458445041,0.952191235059761,0.3114754098360656,0.8628158844765343,0.6987673541426099
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Sales,373,False,4,0.8632707774798928,0.6206524956524956,35,1,0.002680965147453083,0.02857142857142857,0.0,1.0,0.07489382071874975
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Human Resources,21,True,2,0.8571428571428571,0.5887445887445887,3,4,0.19047619047619047,1.0,0.05555555555555555,0.75,0.16953858010016293
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Human Resources,21,True,3,0.8571428571428571,0.5887445887445887,16,17,0.8095238095238095,0.9375,0.4,0.8823529411764706,0.7426276680614267
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Human Resources,21,True,4,0.8571428571428571,0.5887445887445887,2,0,0.0,0.0,0.0,,0.08783375706878446
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Life Sciences,492,False,2,0.8373983739837398,0.5846249610955493,78,83,0.16869918699186992,0.8846153846153846,0.033816425120772944,0.8313253012048193,0.16126165844850138
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Life Sciences,492,False,3,0.8373983739837398,0.5846249610955493,357,408,0.8292682926829268,0.9607843137254902,0.48148148148148145,0.8406862745098039,0.7469798433140102
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Life Sciences,492,False,4,0.8373983739837398,0.5846249610955493,57,1,0.0020325203252032522,0.0,0.0022988505747126436,0.0,0.09175849612352696
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,Marketing,137,False,2,0.8540145985401459,0.6369658119658119,29,35,0.25547445255474455,0.9655172413793104,0.06481481481481481,0.8,0.2262708626069973
