feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition,xgboost,Gender,false_positive_rate,2,Female,475,0.0,Male,725,0.003105590062111801,0.003105590062111801,30,4.0
no_salary_hike_no_attrition,xgboost,Gender,macro_f1,2,Male,725,0.5976134119817823,Female,475,0.6128526924788608,0.015239280497078456,30,
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,2,Male,725,0.7458918629149939,Female,475,0.7640407570177002,0.01814889410270637,30,3.0
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,2,Female,475,0.15368430072591813,Male,725,0.16548336461754434,0.011799063891626216,30,2.0
no_salary_hike_no_attrition,xgboost,Gender,mean_predicted_probability,2,Female,475,0.08227494078345204,Male,725,0.08862477368048938,0.006349832897037333,30,4.0
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,2,Male,725,0.8234482758620689,Female,475,0.8421052631578947,0.018656987295825767,30,3.0
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,2,Female,475,0.15789473684210525,Male,725,0.1724137931034483,0.014519056261343033,30,2.0
no_salary_hike_no_attrition,xgboost,Gender,positive_prediction_rate,2,Female,475,0.0,Male,725,0.004137931034482759,0.004137931034482759,30,4.0
no_salary_hike_no_attrition,xgboost,Gender,precision,2,Male,725,0.848,Female,475,0.92,0.07200000000000006,30,2.0
no_salary_hike_no_attrition,xgboost,Gender,precision,2,Male,725,0.8458961474036851,Female,475,0.86,0.014103852596314859,30,3.0
no_salary_hike_no_attrition,xgboost,Gender,precision,1,Male,725,0.3333333333333333,Male,725,0.3333333333333333,0.0,30,4.0
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,2,Male,725,0.8907563025210085,Female,475,0.92,0.02924369747899158,30,2.0
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,2,Male,725,0.9619047619047619,Female,475,0.9856733524355301,0.023768590530768186,30,3.0
no_salary_hike_no_attrition,xgboost,Gender,true_positive_rate,2,Female,475,0.0,Male,725,0.012345679012345678,0.012345679012345678,30,4.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,accuracy,3,Single,384,0.8359375,Divorced,268,0.8694029850746269,0.03346548507462688,30,
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,3,Married,548,0.4,Divorced,268,0.5079365079365079,0.10793650793650789,30,3.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,3,Divorced,268,0.008658008658008658,Married,548,0.033482142857142856,0.0248241341991342,30,2.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,false_positive_rate,3,Married,548,0.0,Divorced,268,0.004132231404958678,0.004132231404958678,30,4.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,macro_f1,3,Single,384,0.5982087183266255,Married,548,0.6093607776746703,0.011152059348044863,30,
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,3,Divorced,268,0.12486208165234951,Married,548,0.18436616184888832,0.059504080196538814,30,2.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,3,Married,548,0.7339701706791691,Divorced,268,0.7813528535553991,0.04738268287622993,30,3.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,mean_predicted_probability,3,Married,548,0.08166366891969883,Divorced,268,0.0937850622706977,0.012121393350998877,30,4.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,3,Divorced,268,0.12313432835820895,Married,548,0.19343065693430658,0.07029632857609763,30,2.0
no_salary_hike_no_attrition,xgboost,MaritalStatus,positive_prediction_rate,3,Married,548,0.8047445255474452,Divorced,268,0.8731343283582089,0.06838980281076368,30,3.0
