run_id,policy_contract_sha256,scientific_input_sha256,fold_contract_hash,estimand,policy_id,policy_name,n_features,model_name,metric,value
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,macro_precision,0.6173416362960565
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,macro_recall,0.6400478278264968
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,multiclass_brier,0.33454409353682557
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,nll_log_loss,0.5441086871505009
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,ordinal_mae,0.23083333333333333
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,quadratic_weighted_kappa,0.5813780260707635
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,ranked_probability_score,0.08390544964231936
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,two_level_reversal_rate,0.0016666666666666668
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,weighted_f1,0.7725324386297491
phase1d_v3_20260904T063324Z_823c848,d10c6f6c5e3a61e3895220f4d43a8d682e4d98c83b165f6694b20570ae950d22,79bbbca3911c164daa85ab2dde3f8a45a7cf19af83856f104703a01b08e3a811,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,fixed_primary_schedule_feature_access_sensitivity,P1,LEAKAGE_CONTROLLED,24,xgboost,weighted_precision,0.7752377627628998
