feature_set,n_features,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
satisfaction_only,5,9,0.6833333333333333,0.3783524904214559,0.3639990027424582,0.6321740214410371,0.3579059829059829,0.5923344017094018,0.3783524904214559,0.6833333333333333,0.325,0.13441238564391267,0.9916666666666667,0.008333333333333333,0.6804725183447388,0.6632142688567924,0.44995568402310554,0.6503467806007149
satisfaction_only,5,10,0.65,0.36302681992337166,0.3443638760711932,0.6128125686662272,0.32766439909297057,0.579733560090703,0.36302681992337166,0.65,0.375,0.03164556962025311,0.975,0.025,0.6170264336140102,0.6237169003115265,0.39454446341168525,0.6369339862325556
career_tenure_only,7,1,0.7333333333333333,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.24444444444444444,0.5377777777777778,0.3333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0,0.0,0.6439365634024051,0.6621226886123192,0.44821688975703594,0.6757343997266821
career_tenure_only,7,2,0.6833333333333333,0.3243620414673046,0.2951663077291218,0.6082944484326394,0.28028028028028024,0.5527277277277277,0.3243620414673046,0.6833333333333333,0.325,-0.02244389027431426,0.9916666666666667,0.008333333333333333,0.5685892684604077,0.5819011019092564,0.3794182210108034,0.6477988481510434
career_tenure_only,7,3,0.7166666666666667,0.32575757575757575,0.27831715210355984,0.6122977346278318,0.24293785310734461,0.5344632768361581,0.32575757575757575,0.7166666666666667,0.2833333333333333,-0.00591715976331364,1.0,0.0,0.6411048411844736,0.6410617708236945,0.44119144698162854,0.6639383688182862
career_tenure_only,7,4,0.7333333333333333,0.3470893141945774,0.31329942980428416,0.6344968408075203,0.4124293785310735,0.6198446327683615,0.3470893141945774,0.7333333333333333,0.26666666666666666,0.053254437869822424,1.0,0.0,0.7253236738469738,0.7064517524328366,0.4958164234480463,0.727133826812707
career_tenure_only,7,5,0.7333333333333333,0.3508771929824561,0.31488673139158574,0.6282119741100324,0.57703081232493,0.688375350140056,0.3508771929824561,0.7333333333333333,0.26666666666666666,0.05651105651105648,1.0,0.0,0.6983591257645649,0.6844936262494173,0.48073224935642517,0.7074013806999009
career_tenure_only,7,6,0.7083333333333334,0.3256704980842912,0.2764227642276423,0.6012195121951219,0.24011299435028247,0.5222457627118644,0.3256704980842912,0.7083333333333334,0.2916666666666667,-0.004784688995215225,1.0,0.0,0.6384070000989953,0.5961469142197238,0.4112987099968586,0.6262255089818534
career_tenure_only,7,7,0.7083333333333334,0.3256704980842912,0.2764227642276423,0.6012195121951219,0.24011299435028247,0.5222457627118644,0.3256704980842912,0.7083333333333334,0.2916666666666667,-0.006711409395973256,1.0,0.0,0.6172085488782234,0.5816293306900783,0.4011410687052459,0.628366336374761
career_tenure_only,7,8,0.7333333333333333,0.37567049808429115,0.3588467916826126,0.6516456180635285,0.4152046783625731,0.6239035087719298,0.37567049808429115,0.7333333333333333,0.275,0.08616187989556146,0.9916666666666667,0.008333333333333333,0.672960063295223,0.6892235438497122,0.4735543190874389,0.70521374797211
