feature_set,fold,feature,rank,mean_abs_grouped_shap
no_salary_hike_no_attrition_no_department,3,EmpWorkLifeBalance,4,0.22897451817500244
no_salary_hike_no_attrition_no_department,3,ExperienceYearsInCurrentRole,5,0.22615562788665153
no_salary_hike_no_attrition_no_department,3,YearsWithCurrManager,6,0.12651677530520827
no_salary_hike_no_attrition_no_department,3,EmpHourlyRate,7,0.12110126629332728
no_salary_hike_no_attrition_no_department,3,TotalWorkExperienceInYears,8,0.1046344311086917
no_salary_hike_no_attrition_no_department,3,EmpJobSatisfaction,9,0.08371360451403437
no_salary_hike_no_attrition_no_department,3,EducationBackground,10,0.08310876919640578
no_salary_hike_no_attrition_no_department,3,DistanceFromHome,11,0.08128876631098036
no_salary_hike_no_attrition_no_department,3,ExperienceYearsAtThisCompany,12,0.06845478289368556
no_salary_hike_no_attrition_no_department,3,NumCompaniesWorked,13,0.05455502367234052
no_salary_hike_no_attrition_no_department,3,EmpEducationLevel,14,0.053287641762209306
no_salary_hike_no_attrition_no_department,3,BusinessTravelFrequency,15,0.05139555820173377
no_salary_hike_no_attrition_no_department,3,TrainingTimesLastYear,16,0.050909661716630375
no_salary_hike_no_attrition_no_department,3,EmpJobInvolvement,17,0.03266138627894988
no_salary_hike_no_attrition_no_department,3,EmpRelationshipSatisfaction,18,0.02828291173306449
no_salary_hike_no_attrition_no_department,3,EmpJobLevel,19,0.027767051009221985
no_salary_hike_no_attrition_no_department,3,OverTime,20,0.025818364623248474
no_salary_hike_no_attrition_no_department,4,EmpEnvironmentSatisfaction,1,1.0692148225773255
no_salary_hike_no_attrition_no_department,4,YearsSinceLastPromotion,2,0.44164423290082294
no_salary_hike_no_attrition_no_department,4,EmpJobRole,3,0.2614063842494539
no_salary_hike_no_attrition_no_department,4,EmpWorkLifeBalance,4,0.22899012505004065
no_salary_hike_no_attrition_no_department,4,ExperienceYearsInCurrentRole,5,0.19114274482473978
no_salary_hike_no_attrition_no_department,4,EmpHourlyRate,6,0.15716452008366308
no_salary_hike_no_attrition_no_department,4,TotalWorkExperienceInYears,7,0.1087923989130003
no_salary_hike_no_attrition_no_department,4,DistanceFromHome,8,0.10794294189512989
no_salary_hike_no_attrition_no_department,4,YearsWithCurrManager,9,0.09724881972280046
no_salary_hike_no_attrition_no_department,4,EmpJobSatisfaction,10,0.0823750604202764
no_salary_hike_no_attrition_no_department,4,BusinessTravelFrequency,11,0.07630754630049018
no_salary_hike_no_attrition_no_department,4,EmpJobLevel,12,0.06892363829457382
no_salary_hike_no_attrition_no_department,4,EmpEducationLevel,13,0.06808831951289498
no_salary_hike_no_attrition_no_department,4,EducationBackground,14,0.06486762257215256
no_salary_hike_no_attrition_no_department,4,ExperienceYearsAtThisCompany,15,0.06165533313129951
no_salary_hike_no_attrition_no_department,4,NumCompaniesWorked,16,0.05373504367313823
no_salary_hike_no_attrition_no_department,4,TrainingTimesLastYear,17,0.05230009290001666
no_salary_hike_no_attrition_no_department,4,EmpRelationshipSatisfaction,18,0.04283117583808133
no_salary_hike_no_attrition_no_department,4,OverTime,19,0.042788535745704494
no_salary_hike_no_attrition_no_department,4,EmpJobInvolvement,20,0.02724967186566371
no_salary_hike_no_attrition_no_department,5,EmpEnvironmentSatisfaction,1,1.014028356426085
no_salary_hike_no_attrition_no_department,5,YearsSinceLastPromotion,2,0.48846485259297573
no_salary_hike_no_attrition_no_department,5,EmpJobRole,3,0.2677103070831638
no_salary_hike_no_attrition_no_department,5,EmpWorkLifeBalance,4,0.24456111064314934
no_salary_hike_no_attrition_no_department,5,ExperienceYearsInCurrentRole,5,0.23738071275822423
no_salary_hike_no_attrition_no_department,5,EmpHourlyRate,6,0.1485213876910469
no_salary_hike_no_attrition_no_department,5,YearsWithCurrManager,7,0.11960695457981071
no_salary_hike_no_attrition_no_department,5,EmpJobSatisfaction,8,0.10729894102963347
no_salary_hike_no_attrition_no_department,5,DistanceFromHome,9,0.09053080435696756
no_salary_hike_no_attrition_no_department,5,ExperienceYearsAtThisCompany,10,0.08770161663887847
no_salary_hike_no_attrition_no_department,5,BusinessTravelFrequency,11,0.08661332514204534
no_salary_hike_no_attrition_no_department,5,TotalWorkExperienceInYears,12,0.08503946222545992
no_salary_hike_no_attrition_no_department,5,NumCompaniesWorked,13,0.06822004946589004
no_salary_hike_no_attrition_no_department,5,TrainingTimesLastYear,14,0.06577161543844139
no_salary_hike_no_attrition_no_department,5,EducationBackground,15,0.051438837203992685
no_salary_hike_no_attrition_no_department,5,EmpJobLevel,16,0.04371924824198585
no_salary_hike_no_attrition_no_department,5,EmpRelationshipSatisfaction,17,0.04132231577993176
no_salary_hike_no_attrition_no_department,5,EmpEducationLevel,18,0.033357502802058056
no_salary_hike_no_attrition_no_department,5,EmpJobInvolvement,19,0.03260312445179604
no_salary_hike_no_attrition_no_department,5,OverTime,20,0.0318747949370542
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpEnvironmentSatisfaction,1,0.9921109814843577
no_salary_hike_no_attrition_no_department_no_job_role,1,YearsSinceLastPromotion,2,0.4946028814146808
no_salary_hike_no_attrition_no_department_no_job_role,1,ExperienceYearsInCurrentRole,3,0.23825811249391537
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpWorkLifeBalance,4,0.23070468150878393
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpHourlyRate,5,0.20342183354473997
no_salary_hike_no_attrition_no_department_no_job_role,1,DistanceFromHome,6,0.13852720477556835
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpJobSatisfaction,7,0.11975971697182912
no_salary_hike_no_attrition_no_department_no_job_role,1,YearsWithCurrManager,8,0.10466058707526019
no_salary_hike_no_attrition_no_department_no_job_role,1,TotalWorkExperienceInYears,9,0.10431156197640425
no_salary_hike_no_attrition_no_department_no_job_role,1,ExperienceYearsAtThisCompany,10,0.08273140681291503
no_salary_hike_no_attrition_no_department_no_job_role,1,TrainingTimesLastYear,11,0.07263414478796525
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpJobLevel,12,0.07133940581415017
no_salary_hike_no_attrition_no_department_no_job_role,1,NumCompaniesWorked,13,0.06557622702811285
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpEducationLevel,14,0.0646460827332602
no_salary_hike_no_attrition_no_department_no_job_role,1,BusinessTravelFrequency,15,0.06204781084034039
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpRelationshipSatisfaction,16,0.05907291676784451
no_salary_hike_no_attrition_no_department_no_job_role,1,EducationBackground,17,0.05312887509693003
no_salary_hike_no_attrition_no_department_no_job_role,1,EmpJobInvolvement,18,0.044649897435718025
no_salary_hike_no_attrition_no_department_no_job_role,1,OverTime,19,0.03500900646831724
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpEnvironmentSatisfaction,1,1.0169066669328863
no_salary_hike_no_attrition_no_department_no_job_role,2,YearsSinceLastPromotion,2,0.503859100788476
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpWorkLifeBalance,3,0.23361960070227117
no_salary_hike_no_attrition_no_department_no_job_role,2,ExperienceYearsInCurrentRole,4,0.21044629828344721
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpHourlyRate,5,0.14922382169154136
no_salary_hike_no_attrition_no_department_no_job_role,2,YearsWithCurrManager,6,0.11729350441714309
no_salary_hike_no_attrition_no_department_no_job_role,2,DistanceFromHome,7,0.10738748608055175
no_salary_hike_no_attrition_no_department_no_job_role,2,ExperienceYearsAtThisCompany,8,0.10302895633920141
no_salary_hike_no_attrition_no_department_no_job_role,2,TotalWorkExperienceInYears,9,0.10176653471466529
no_salary_hike_no_attrition_no_department_no_job_role,2,TrainingTimesLastYear,10,0.09273121613746803
no_salary_hike_no_attrition_no_department_no_job_role,2,BusinessTravelFrequency,11,0.07992988996071897
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpRelationshipSatisfaction,12,0.07775195884957307
no_salary_hike_no_attrition_no_department_no_job_role,2,NumCompaniesWorked,13,0.07118059752004531
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpJobLevel,14,0.06792502858629126
no_salary_hike_no_attrition_no_department_no_job_role,2,EducationBackground,15,0.06623647492055575
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpJobSatisfaction,16,0.0613785130276584
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpJobInvolvement,17,0.05669225804255499
no_salary_hike_no_attrition_no_department_no_job_role,2,EmpEducationLevel,18,0.05498947090311251
no_salary_hike_no_attrition_no_department_no_job_role,2,OverTime,19,0.03663836569620697
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpEnvironmentSatisfaction,1,1.009852014893679
no_salary_hike_no_attrition_no_department_no_job_role,3,YearsSinceLastPromotion,2,0.49976281022827607
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpWorkLifeBalance,3,0.23213668463286014
no_salary_hike_no_attrition_no_department_no_job_role,3,ExperienceYearsInCurrentRole,4,0.22423142044184108
no_salary_hike_no_attrition_no_department_no_job_role,3,EmpHourlyRate,5,0.13266007108201544
no_salary_hike_no_attrition_no_department_no_job_role,3,TotalWorkExperienceInYears,6,0.12306634853610174
