system_id,v3_system_label,support_threshold,attribute,metric,gap_max_minus_min,minimum_group,minimum_value,maximum_group,maximum_value,eligible_group_count,declared_group_count,status,higher_value_is_better,maximum_gap_selection_scope,inference_scope
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EmpDepartment,recall_class_3,0.07719298245614037,Human Resources,0.7894736842105263,Finance,0.8666666666666667,6,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EmpDepartment,recall_class_4,0.11883116883116884,Sales,0.08571428571428572,Development,0.20454545454545456,3,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EmpDepartment,multiclass_brier,0.26261041877619773,Finance,0.17381165204093857,Data Science,0.4364220708171363,6,6,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EmpDepartment,log_loss,0.46262971354088545,Finance,0.29626149576312844,Data Science,0.7588912093040139,6,6,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,macro_f1,0.08801801801801812,Human Resources,0.5416666666666666,Marketing,0.6296846846846847,6,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,balanced_accuracy,0.05912378157425846,Technical Degree,0.5904761904761905,Marketing,0.649599972050449,4,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,quadratic_weighted_kappa,0.1336048868211226,Technical Degree,0.49622166246851385,Marketing,0.6298265492896364,4,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,ordinal_mae,0.10952380952380952,Human Resources,0.19047619047619047,Technical Degree,0.3,6,6,estimable_descriptive_gap,False,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,recall_class_2,0.13218390804597702,Technical Degree,0.8333333333333334,Marketing,0.9655172413793104,4,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,EducationBackground,recall_class_3,0.10357142857142854,Technical Degree,0.7714285714285715,Other,0.875,6,6,estimable_descriptive_gap,True,exploratory_all_cells_reported_no_selection_adjusted_single_winner_claim,descriptive_unless_primary_simultaneous_interval_is_joined
