scheme,seed,n_samples,job_role_value_changed_fraction,mean_total_variation,prediction_change_rate,mean_absolute_ordinal_prediction_shift,mean_original_predicted_class_probability_drop,mean_original_predicted_class_raw_margin_drop,original_macro_f1,original_balanced_accuracy,original_quadratic_weighted_kappa,original_ordinal_mae,original_recall_class_2,original_recall_class_3,original_recall_class_4,original_multiclass_brier,original_log_loss,permuted_macro_f1,permuted_balanced_accuracy,permuted_quadratic_weighted_kappa,permuted_ordinal_mae,permuted_recall_class_2,permuted_recall_class_3,permuted_recall_class_4,permuted_multiclass_brier,permuted_log_loss,delta_macro_f1,delta_balanced_accuracy,delta_quadratic_weighted_kappa,delta_ordinal_mae,delta_recall_class_2,delta_recall_class_3,delta_recall_class_4,delta_multiclass_brier,delta_log_loss,inference_scope,claim_boundary
marginal_within_outer_test_fold,31052,1200,0.8675,0.10372936249326495,0.13916666666666666,0.13916666666666666,0.05787784060412985,0.1619807204673998,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5704238987334599,0.5843661555992586,0.493660053343983,0.29083333333333333,0.7989690721649485,0.7723112128146453,0.18181818181818182,0.4028614268932839,0.6532517918617835,-0.05059726601121084,-0.0516790614870305,-0.07394202448764298,0.04749999999999999,-0.12371134020618557,-0.0389016018306636,0.007575757575757569,0.06025510031994086,0.10178918079248167,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31053,1200,0.88,0.1056913230523377,0.12666666666666668,0.1275,0.056245524771784426,0.16769041230203585,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5596039454975709,0.5677984044364474,0.4694279027623668,0.2975,0.7371134020618557,0.7768878718535469,0.1893939393939394,0.41227972345232916,0.6654768360307992,-0.06141721924709986,-0.06824681264984178,-0.09817417506925918,0.05416666666666664,-0.18556701030927836,-0.034324942791762014,0.015151515151515138,0.0696733968789861,0.11401422496149738,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31054,1200,0.89,0.10578469220517249,0.13333333333333333,0.13416666666666666,0.05500580632155109,0.15175349024813234,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5724801822554648,0.5822430824082196,0.48601803085844275,0.28583333333333333,0.7474226804123711,0.7871853546910755,0.21212121212121213,0.4118105192817268,0.6709953623561612,-0.04854098248920591,-0.05380213467806949,-0.08158404697318322,0.04249999999999998,-0.17525773195876293,-0.024027459954233388,0.03787878787878787,0.06920419270838374,0.11953275128685936,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31055,1200,0.88,0.10424047665584066,0.13166666666666665,0.1325,0.056529960487465974,0.16608760370038606,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5723838683027271,0.5820100912400802,0.4865628802901235,0.2875,0.7577319587628866,0.7837528604118993,0.20454545454545456,0.416976772029253,0.6817323628840594,-0.04863729644194359,-0.05403512584620895,-0.08103919754150246,0.04416666666666663,-0.1649484536082475,-0.027459954233409634,0.030303030303030304,0.07437044545590993,0.13026975181475753,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31056,1200,0.8666666666666667,0.10051405887862673,0.13,0.13083333333333333,0.05003508824106274,0.1419809572006731,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5788676563997187,0.5941417167737676,0.5027887068182801,0.2808333333333333,0.8092783505154639,0.7837528604118993,0.1893939393939394,0.3978854544370013,0.6513015756144234,-0.04215350834495202,-0.04190350031252155,-0.06481337101334583,0.03749999999999998,-0.11340206185567014,-0.027459954233409634,0.015151515151515138,0.05527912786365824,0.09983896454512153,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31057,1200,0.8741666666666666,0.10436888628631352,0.12916666666666668,0.13083333333333333,0.053803414161745146,0.15131381779676303,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5734506926080521,0.5861689627407148,0.488037476995148,0.2891666666666667,0.7835051546391752,0.7780320366132724,0.19696969696969696,0.41124482142675856,0.6628472601582441,-0.04757047213661858,-0.0498762543455743,-0.07956460083647798,0.04583333333333334,-0.13917525773195882,-0.03318077803203656,0.022727272727272707,0.0686384948534155,0.1113846490889423,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31058,1200,0.8625,0.10619039457939865,0.14083333333333334,0.14083333333333334,0.05844069795244651,0.1696084926110537,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5745124955926114,0.5864462168692041,0.4937378302363037,0.2875,0.7680412371134021,0.7791762013729977,0.21212121212121213,0.4030580755747872,0.6500650784102372,-0.04650866915205931,-0.049599000217085076,-0.07386424759532229,0.04416666666666663,-0.15463917525773196,-0.03203661327231122,0.03787878787878787,0.06045174900144412,0.09860246734093536,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31059,1200,0.8616666666666667,0.09911812094674206,0.13083333333333333,0.13083333333333333,0.05151954470074392,0.13905502213553214,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5887354839018367,0.6032430273624924,0.5160940847918722,0.27416666666666667,0.8092783505154639,0.7883295194508009,0.21212121212121213,0.39498397345574454,0.6464351490260758,-0.03228568084283401,-0.03280218972379678,-0.05150799303975373,0.030833333333333324,-0.11340206185567014,-0.022883295194508046,0.03787878787878787,0.052377646882401485,0.09497253795677396,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31060,1200,0.8966666666666666,0.10245153374022199,0.13166666666666665,0.1325,0.053739596721989094,0.15399773172781958,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5752839910962085,0.5910020848271338,0.5000549127841736,0.2841666666666667,0.8195876288659794,0.7791762013729977,0.17424242424242425,0.4052575277293719,0.659537733969104,-0.04573717364846219,-0.04504313225915535,-0.0675471650474524,0.04083333333333333,-0.10309278350515472,-0.03203661327231122,0.0,0.06265120115602885,0.10807512289980215,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31061,1200,0.8733333333333333,0.09898376028639899,0.12416666666666666,0.125,0.05144843296951271,0.14839648741083997,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5842119207843589,0.5999992612911059,0.5107725955911977,0.2783333333333333,0.8041237113402062,0.7837528604118993,0.21212121212121213,0.3987556446583938,0.6491970131023046,-0.03680924396031182,-0.036045955795183215,-0.056829482240428275,0.034999999999999976,-0.11855670103092786,-0.027459954233409634,0.03787878787878787,0.05614931808505075,0.09773440203300277,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31042,1200,0.5191666666666667,0.048328952361074935,0.06416666666666666,0.06416666666666666,0.016886588910401783,0.03480543459261147,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6237857247071764,0.6427137329081231,0.5686771341940811,0.2475,0.9226804123711341,0.8009153318077803,0.20454545454545456,0.34996379279517464,0.5624809075320447,0.002764559962505686,0.00666851582183392,0.0010750563624550846,0.004166666666666652,0.0,-0.010297482837528626,0.030303030303030304,0.007357466221831588,0.011018296462742883,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31043,1200,0.5266666666666666,0.055470099879723636,0.07916666666666666,0.07916666666666666,0.02579097684577696,0.055355692030667945,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6055500565360132,0.6216408702372043,0.5504049284601978,0.25083333333333335,0.8969072164948454,0.8089244851258581,0.1590909090909091,0.36265975939185147,0.5833638288026047,-0.015471108208657491,-0.01440434684908487,-0.017197149371428133,0.007500000000000007,-0.02577319587628868,-0.0022883295194507935,-0.015151515151515166,0.02005343281850841,0.0319012177333029,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
department_conditional_within_outer_test_fold_and_department,31044,1200,0.5291666666666667,0.05573758406466493,0.07583333333333334,0.07583333333333334,0.025308348196055416,0.05353126216679811,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.6087887729950577,0.6298388709096675,0.5522112236242933,0.2575,0.9072164948453608,0.7929061784897025,0.1893939393939394,0.36125487676245954,0.5801145890549321,-0.012232391749612992,-0.0062063461766216355,-0.01539085420733266,0.01416666666666666,-0.015463917525773252,-0.01830663615560646,0.015151515151515138,0.018648550189116486,0.02865197798563024,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
