panel,audited_attribute,eligible_groups,support_context,metric,class_label,support_status,headline_eligible,largest_supported_gap_full_precision,largest_supported_gap_display,largest_supported_gap_ci_lower_full_precision,largest_supported_gap_ci_upper_full_precision,largest_supported_gap_interval_display,predictor_policy,target_class_support,estimation_status,interpretation,proxy_metric_full_precision,proxy_metric_display,proxy_metric_ci_lower_full_precision,proxy_metric_ci_upper_full_precision,proxy_metric_interval_display
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,accuracy,N/A,support_sufficient_descriptive_estimate,True,0.0790625,0.0791,0.0501828951524691,0.2176135877869947,"[0.0502, 0.2176]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=63.0,false_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0398926964347525,0.0399,0.0210618875616908,0.1033635178209214,"[0.0211, 0.1034]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=59.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.069660014781966,0.0697,0.0421030926900175,0.1785788868161069,"[0.0421, 0.1786]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,mean_predicted_probability,2.0,support_sufficient_descriptive_estimate,True,0.1674339367701998,0.1674,0.0937111265618383,0.253142207122765,"[0.0937, 0.2531]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,mean_predicted_probability,3.0,support_sufficient_descriptive_estimate,True,0.1241827600337404,0.1242,0.0743735715266992,0.214711571631374,"[0.0744, 0.2147]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,mean_predicted_probability,4.0,support_sufficient_descriptive_estimate,True,0.0544045178121254,0.0544,0.0320750554620362,0.1113239524773001,"[0.0321, 0.1113]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,positive_prediction_rate,2.0,support_sufficient_descriptive_estimate,True,0.1797168767971688,0.1797,0.0959613564436849,0.2727642715277366,"[0.0960, 0.2728]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,positive_prediction_rate,3.0,support_sufficient_descriptive_estimate,True,0.1685467816854678,0.1685,0.0887033137520557,0.3011527918192044,"[0.0887, 0.3012]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=66.0,positive_prediction_rate,4.0,support_sufficient_descriptive_estimate,True,0.0651094890510949,0.0651,0.0451355720748722,0.1670333880678708,"[0.0451, 0.1670]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Technical Degree""]",groups=4.0; minimum_group_support=100.0; metric_denominator>=18.0,precision,2.0,support_sufficient_descriptive_estimate,True,0.0828442059366091,0.0828,0.0502332535885167,0.2923546971412948,"[0.0502, 0.2924]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=54.0,precision,3.0,support_sufficient_descriptive_estimate,True,0.0707070707070706,0.0707,0.0355012871679431,0.1993427598130844,"[0.0355, 0.1993]",,,,,,,,,
A_supported_subgroup,EducationBackground,"[""Life Sciences"",""Marketing"",""Medical"",""Other"",""Technical Degree""]",groups=5.0; minimum_group_support=66.0; metric_denominator>=56.0,true_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0857142857142856,0.0857,0.0594370215362577,0.2270283255347593,"[0.0594, 0.2270]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=49.0,accuracy,N/A,support_sufficient_descriptive_estimate,True,0.1192831703318446,0.1193,0.0564841498559077,0.2444107372678799,"[0.0565, 0.2444]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=34.0,false_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0489510489510489,0.0490,0.0358303758082551,0.0816326530612244,"[0.0358, 0.0816]",,,,,,,,,
A_supported_subgroup,EmpDepartment,"[""Development"",""Finance"",""Human Resources"",""Research & Development"",""Sales""]",groups=5.0; minimum_group_support=49.0; metric_denominator>=45.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0504358538816194,0.0504,0.038310895671266,0.1719005738585585,"[0.0383, 0.1719]",,,,,,,,,
