sampler,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
smote_tomek,rf_bal,1,0.9583333333333334,0.9235983314930684,0.9371650007243227,0.9580771041576127,0.9554307116104869,0.9594475655430711,0.9235983314930684,0.9583333333333334,0.041666666666666664,0.9194847020933977,1.0,0.0,0.9939250825794156,0.9896312623376823,0.9888520811193798,0.9929455748644869
random_under,lr,1,0.7666666666666667,0.8583302662250031,0.7195511177632433,0.7823932640326956,0.675542328042328,0.8627556216931216,0.8583302662250031,0.7666666666666667,0.24166666666666667,0.6489241223103058,0.9916666666666667,0.008333333333333333,0.9561784759000607,0.9395458865395886,0.8994806183894847,0.9420461771707628
random_under,lr_bal,1,0.7666666666666667,0.8583302662250031,0.7195511177632433,0.7823932640326956,0.675542328042328,0.8627556216931216,0.8583302662250031,0.7666666666666667,0.24166666666666667,0.6489241223103058,0.9916666666666667,0.008333333333333333,0.9561784759000607,0.9395458865395886,0.8994806183894847,0.9420461771707628
random_under,rf,1,0.9166666666666666,0.962121212121212,0.8873965479321638,0.9199393221799427,0.8379629629629629,0.9369212962962963,0.962121212121212,0.9166666666666666,0.08333333333333333,0.8637602179836512,1.0,0.0,0.9862000001423294,0.9784786962925265,0.9619381375522306,0.9782944983137247
random_under,rf_bal,1,0.9166666666666666,0.962121212121212,0.8873965479321638,0.9199393221799427,0.8379629629629629,0.9369212962962963,0.962121212121212,0.9166666666666666,0.08333333333333333,0.8637602179836512,1.0,0.0,0.9862000001423294,0.9784786962925265,0.9619381375522306,0.9782944983137247
none,lr,2,0.8416666666666667,0.7006195558827137,0.7347097347097348,0.8353008103008103,0.7853335187502898,0.8357402771983498,0.7006195558827137,0.8416666666666667,0.16666666666666666,0.6153846153846154,0.9916666666666667,0.008333333333333333,0.9261589568025675,0.9046603908346442,0.8536035639867467,0.9109090130496926
none,lr_bal,2,0.775,0.7771439087228561,0.7049605957389969,0.7883125041741803,0.6681012613936564,0.8251867597403735,0.7771439087228561,0.775,0.24166666666666667,0.5763799743260591,0.9833333333333333,0.016666666666666666,0.9249318599504868,0.9033081856666975,0.8545784474071181,0.9106178550323392
none,rf,2,0.9416666666666667,0.8585602993497731,0.8994755679838553,0.939104234822467,0.9599761051373954,0.9438918757467144,0.8585602993497731,0.9416666666666667,0.058333333333333334,0.8795180722891566,1.0,0.0,0.9513111155577962,0.9456853172904907,0.8912513848330805,0.938893825400741
none,rf_bal,2,0.9333333333333333,0.8329192737087473,0.878955878955879,0.9291340791340791,0.9566587864460204,0.9365937746256895,0.8329192737087473,0.9333333333333333,0.06666666666666667,0.8596491228070176,1.0,0.0,0.9671519946007571,0.961662170159773,0.904970623583275,0.9502772893318439
smote,lr,2,0.7916666666666666,0.7984756471598576,0.731522749585147,0.80280536224707,0.6969219219219219,0.8359365615615616,0.7984756471598576,0.7916666666666666,0.21666666666666667,0.6344647519582245,0.9916666666666667,0.008333333333333333,0.921828168470627,0.9005239177539248,0.8427234540012617,0.9045599091298917
smote,lr_bal,2,0.7916666666666666,0.7984756471598576,0.731522749585147,0.80280536224707,0.6969219219219219,0.8359365615615616,0.7984756471598576,0.7916666666666666,0.21666666666666667,0.6344647519582245,0.9916666666666667,0.008333333333333333,0.921828168470627,0.9005239177539248,0.8427234540012617,0.9045599091298917
smote,rf,2,0.95,0.8842013249907987,0.9183836009922967,0.9485872829351089,0.9633655394524959,0.9513486312399356,0.8842013249907987,0.95,0.05,0.8986486486486487,1.0,0.0,0.967700489433308,0.9605487907143518,0.9138619560853085,0.9532872520446565
