feature_set,model,fold,n_features,removed_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,xgboost,10,21,"Age, EmpLastSalaryHikePercent, Attrition",0.8583333333333333,0.6256704980842912,0.603030303030303,0.8090909090909091,0.5833333333333334,0.76625,0.6256704980842912,0.8583333333333333,0.14166666666666666,0.6644736842105263,1.0,0.0,0.44565651904843734,0.2560533696781366,0.09042405635118489
no_salary_hike_no_attrition_no_department,catboost,1,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.5875199362041467,0.5458601458601459,0.7627970827970827,0.5102345734349321,0.7225160615568506,0.5875199362041467,0.8083333333333333,0.19166666666666668,0.5635673624288424,1.0,0.0,0.48587502485890316,0.2841795159295718,0.05673016369587451
no_salary_hike_no_attrition_no_department,lightgbm,1,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8416666666666667,0.6026714513556618,0.5881119214452548,0.7965489298822632,0.5768243491015768,0.7579024569123579,0.6026714513556618,0.8416666666666667,0.15833333333333333,0.614604462474645,1.0,0.0,0.6329990498524543,0.27070573917310065,0.1010872580531161
no_salary_hike_no_attrition_no_department,xgboost,1,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8583333333333333,0.6515151515151515,0.611645792133597,0.8126939134256208,0.5765385816932209,0.7717939706341768,0.6515151515151515,0.8583333333333333,0.14166666666666666,0.6786389413988658,1.0,0.0,0.43767742145014027,0.23972401825418208,0.04651100039482117
no_salary_hike_no_attrition_no_department,catboost,2,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.6012759170653907,0.5490147375393276,0.7635142407683392,0.5073684210526316,0.7252105263157895,0.6012759170653907,0.8083333333333333,0.19166666666666668,0.5779816513761467,1.0,0.0,0.5527007953984272,0.32211655319406834,0.06784285389078934
no_salary_hike_no_attrition_no_department,lightgbm,2,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.85,0.6202153110047847,0.5920167303146027,0.8011547554100746,0.5666666666666667,0.7579166666666666,0.6202153110047847,0.85,0.15,0.64,1.0,0.0,0.7252105301348503,0.27398659329808267,0.12015833414713953
no_salary_hike_no_attrition_no_department,xgboost,2,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8583333333333333,0.6240031897926634,0.6015965840527243,0.8090388007054673,0.5820739968733716,0.7660891089108911,0.6240031897926634,0.8583333333333333,0.14166666666666666,0.6537678207739307,1.0,0.0,0.46567291108873243,0.259273291901397,0.0808359091480573
no_salary_hike_no_attrition_no_department,catboost,3,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8166666666666667,0.6050637958532695,0.5570441523424334,0.7708459723626558,0.5173611111111112,0.7309027777777778,0.6050637958532695,0.8166666666666667,0.18333333333333332,0.5895522388059702,1.0,0.0,0.5154188214638359,0.3040474127435896,0.07907301310290542
no_salary_hike_no_attrition_no_department,lightgbm,3,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.85,0.6283124769966875,0.6297392417213246,0.8119300911854104,0.8973684210526316,0.865,0.6283124769966875,0.85,0.15,0.6414342629482073,1.0,0.0,0.6651448349018726,0.27129392255451684,0.11966568504148209
no_salary_hike_no_attrition_no_department,xgboost,3,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,1.0,0.0,0.4889826755583299,0.2606308938862748,0.11048669666051865
no_salary_hike_no_attrition_no_department,catboost,4,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.775,0.5586124401913876,0.5114257327372081,0.7330911574764033,0.47368421052631576,0.6971052631578948,0.5586124401913876,0.775,0.225,0.5045871559633026,1.0,0.0,0.5237194362960214,0.31221751227442734,0.0887388449861839
no_salary_hike_no_attrition_no_department,lightgbm,4,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.5875199362041467,0.5458601458601459,0.7627970827970827,0.5102345734349321,0.7225160615568506,0.5875199362041467,0.8083333333333333,0.19166666666666668,0.5635673624288424,1.0,0.0,0.78759697727932,0.3366116782324347,0.1504726883221931
no_salary_hike_no_attrition_no_department,xgboost,4,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.8083333333333333,0.5875199362041467,0.5458601458601459,0.7627970827970827,0.5102345734349321,0.7225160615568506,0.5875199362041467,0.8083333333333333,0.19166666666666668,0.5635673624288424,1.0,0.0,0.4970204897572026,0.2941507035168186,0.07137179523706433
no_salary_hike_no_attrition_no_department,catboost,5,20,"Age, EmpDepartment, EmpLastSalaryHikePercent, Attrition",0.825,0.6261343012704174,0.5741517346549753,0.7743614182234084,0.53125,0.73046875,0.6261343012704174,0.825,0.175,0.6181818181818182,1.0,0.0,0.4563739467198374,0.2646927865377675,0.02619162548127283
