feature_set,model,fold,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,severe_error_rate,nll_log_loss,multiclass_brier
no_salary_hike,catboost,9,23,0.8083333333333333,0.5770114942528736,0.5458601458601459,0.7618489918489918,0.5179344465058752,0.7204468150896723,0.5770114942528736,0.8083333333333333,0.19166666666666668,0.561347743165925,0.0,0.5928132731020778,0.34601463238072944
no_salary_hike,lightgbm,9,23,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,0.0,1.0844467314978805,0.3211066317005283
no_salary_hike,xgboost,9,23,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,0.0,0.5648336363069381,0.2980606192412598
no_salary_hike,catboost,10,23,0.8166666666666667,0.5936781609195402,0.5570441523424334,0.7700981631277385,0.5247273270581204,0.7286007769311221,0.5936781609195402,0.8166666666666667,0.18333333333333332,0.5873710534542045,0.0,0.533700894339024,0.3015585812833735
no_salary_hike,lightgbm,10,23,0.85,0.6218390804597701,0.6010752688172043,0.8048387096774193,0.5828282828282828,0.7651515151515152,0.6218390804597701,0.85,0.15,0.6523978113936273,0.0,0.7818486697716819,0.2964389028976385
no_salary_hike,xgboost,10,23,0.8416666666666667,0.618007662835249,0.5990990990990991,0.8005405405405406,0.582312925170068,0.764030612244898,0.618007662835249,0.8416666666666667,0.15833333333333333,0.6408317580340265,0.0,0.46203150682836497,0.2653850189016368
no_salary_hike_no_attrition,catboost,1,22,0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,0.0,0.4792264670313367,0.2820219261288611
no_salary_hike_no_attrition,lightgbm,1,22,0.8666666666666667,0.6415470494417863,0.6126568466993999,0.817075831969449,0.5866666666666667,0.7731666666666667,0.6415470494417863,0.8666666666666667,0.13333333333333333,0.6799999999999999,0.0,0.6917933219940676,0.2458941542194584
no_salary_hike_no_attrition,xgboost,1,22,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,0.0,0.41865001769787946,0.22060848609362582
no_salary_hike_no_attrition,catboost,2,22,0.8,0.583732057416268,0.537917087967644,0.7555106167846309,0.5,0.7166666666666668,0.583732057416268,0.8,0.2,0.5522388059701493,0.0,0.5658722189008193,0.3313854962046719
no_salary_hike_no_attrition,lightgbm,2,22,0.8583333333333333,0.6240031897926634,0.6096572763239431,0.812867629534296,0.5986431976530987,0.7739594792812614,0.6240031897926634,0.8583333333333333,0.14166666666666666,0.6551724137931034,0.0,0.812976627258784,0.2740045052573054
no_salary_hike_no_attrition,xgboost,2,22,0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,0.0,0.4606495593280851,0.25278350611370176
no_salary_hike_no_attrition,catboost,3,22,0.8083333333333333,0.6012759170653907,0.5490147375393276,0.7635142407683392,0.5073684210526316,0.7252105263157895,0.6012759170653907,0.8083333333333333,0.19166666666666668,0.5779816513761467,0.0,0.5190140363952859,0.3037522593431431
no_salary_hike_no_attrition,lightgbm,3,22,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,0.0,0.6993806723839561,0.25101544907406587
no_salary_hike_no_attrition,xgboost,3,22,0.8666666666666667,0.6634001962949331,0.6522785458269329,0.8282270865335382,0.9081632653061225,0.8801020408163266,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6923076923076923,0.0,0.44031245916164075,0.23221329006311098
no_salary_hike_no_attrition,catboost,4,22,0.7833333333333333,0.5761562998405103,0.5227513227513227,0.7411640211640211,0.4817239498090562,0.7059465357337698,0.5761562998405103,0.7833333333333333,0.21666666666666667,0.5306859205776173,0.0,0.5060985297854629,0.3011326384589357
no_salary_hike_no_attrition,lightgbm,4,22,0.8166666666666667,0.5994049809839284,0.5947615108905432,0.7828342983181693,0.695578231292517,0.7865221088435373,0.5994049809839284,0.8166666666666667,0.18333333333333332,0.578544061302682,0.0,0.7949769485906252,0.32204898838834856
no_salary_hike_no_attrition,xgboost,4,22,0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,0.5874263261296659,0.0,0.4908244127488285,0.2817798230061905
no_salary_hike_no_attrition,catboost,5,22,0.8333333333333334,0.6436781609195402,0.5845820845820846,0.7820720945720946,0.5375438596491228,0.7384912280701754,0.6436781609195402,0.8333333333333334,0.16666666666666666,0.6423248882265276,0.0,0.45382321879391385,0.2655049237996048
no_salary_hike_no_attrition,lightgbm,5,22,0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.5909090909090909,0.008333333333333333,0.8147937108913293,0.2939996438691658
no_salary_hike_no_attrition,xgboost,5,22,0.85,0.6239161121193789,0.5936285936285937,0.7971250971250972,0.5666666666666667,0.7508333333333332,0.6239161121193789,0.85,0.15833333333333333,0.5909090909090909,0.008333333333333333,0.4578362376904154,0.26166656431215707
no_salary_hike_no_attrition,catboost,6,22,0.8166666666666667,0.6085904416212946,0.558647858685983,0.766997077138137,0.5173611111111112,0.7238715277777777,0.6085904416212946,0.8166666666666667,0.19166666666666668,0.5454545454545454,0.008333333333333333,0.4668141573331125,0.2808144297584279
no_salary_hike_no_attrition,lightgbm,6,22,0.8333333333333334,0.6162532768703367,0.5824324324324325,0.7851238738738738,0.5521541950113379,0.7422052154195011,0.6162532768703367,0.8333333333333334,0.175,0.5687500000000001,0.008333333333333333,0.7907024976823218,0.2878017860993122
no_salary_hike_no_attrition,xgboost,6,22,0.85,0.6376285541439807,0.5953856295319709,0.7974027686222809,0.5584415584415584,0.750974025974026,0.6376285541439807,0.85,0.15833333333333333,0.6050156739811913,0.008333333333333333,0.45880282309504383,0.26349769596971545
no_salary_hike_no_attrition,catboost,7,22,0.8416666666666667,0.6308429118773946,0.5866037423414473,0.7936661698956781,0.548611111111111,0.7512152777777777,0.6308429118773946,0.8416666666666667,0.15833333333333333,0.6494464944649446,0.0,0.47391120679860316,0.27663278189287666
no_salary_hike_no_attrition,lightgbm,7,22,0.8666666666666667,0.6423371647509578,0.6136025876387796,0.8171059533175977,0.5877825877825877,0.7732683982683982,0.6423371647509578,0.8666666666666667,0.13333333333333333,0.6896217264791464,0.0,0.7552563030501538,0.2647284040892312
no_salary_hike_no_attrition,xgboost,7,22,0.8583333333333333,0.6385057471264367,0.611645792133597,0.8128499230938255,0.5873015873015873,0.7722222222222221,0.6385057471264367,0.8583333333333333,0.14166666666666666,0.6772151898734178,0.0,0.433354596082707,0.24335947515454284
no_salary_hike_no_attrition,catboost,8,22,0.8,0.5731800766283525,0.5395009954674461,0.7579107891727029,0.5096618357487923,0.720108695652174,0.5731800766283525,0.8,0.20833333333333334,0.5039804041641152,0.008333333333333333,0.5431222206401298,0.3164963931659106
no_salary_hike_no_attrition,lightgbm,8,22,0.8166666666666667,0.5936781609195402,0.591723874904653,0.7874380244088482,0.5931653302787323,0.762819778541428,0.5936781609195402,0.8166666666666667,0.18333333333333332,0.5962067910676048,0.0,0.8697056813656097,0.32278718902754827
no_salary_hike_no_attrition,xgboost,8,22,0.8416666666666667,0.5923371647509579,0.5881119214452548,0.7962605462605462,0.5915032679738562,0.761029411764706,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6132971506105833,0.0,0.5105786279326068,0.26737103507877064
no_salary_hike_no_attrition,catboost,9,22,0.8083333333333333,0.5898467432950191,0.5490147375393276,0.7626676602086437,0.513888888888889,0.7222222222222222,0.5898467432950191,0.8083333333333333,0.19166666666666668,0.5756457564575646,0.0,0.5859574717788737,0.3437895829554996
no_salary_hike_no_attrition,lightgbm,9,22,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,0.0,1.0678709672912632,0.32156787406811954
no_salary_hike_no_attrition,xgboost,9,22,0.8416666666666667,0.5923371647509579,0.5805253875429314,0.7924672793093845,0.5740740740740741,0.7523148148148148,0.5923371647509579,0.8416666666666667,0.15833333333333333,0.6114519427402864,0.0,0.5633352126884152,0.30091060699532
no_salary_hike_no_attrition,catboost,10,22,0.8333333333333334,0.6013409961685824,0.5739138036541656,0.7852543928665092,0.5493025493025493,0.7427489177489177,0.6013409961685824,0.8333333333333334,0.16666666666666666,0.6120271580989332,0.0,0.5138658197660777,0.2934014736393743
no_salary_hike_no_attrition,lightgbm,10,22,0.8333333333333334,0.6141762452107279,0.5971014492753622,0.796195652173913,0.5817869415807561,0.7628865979381444,0.6141762452107279,0.8333333333333334,0.16666666666666666,0.6297439062017895,0.0,0.7738523802755886,0.29582245026873116
