feature_set,model,n_features,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,weighted_precision_mean,weighted_precision_std,macro_recall_mean,macro_recall_std,weighted_recall_mean,weighted_recall_std,ordinal_mae_mean,ordinal_mae_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,severe_error_rate_mean,severe_error_rate_std,nll_log_loss_mean,nll_log_loss_std,multiclass_brier_mean,multiclass_brier_std
no_salary_hike_no_attrition,lightgbm,22,10,0.8450000000000001,0.019720265943665393,0.621105354113521,0.023084687617560922,0.602836850516357,0.020880268944861256,0.8016460726564167,0.01589091323815076,0.6244681156312559,0.1069229771667392,0.7758078433923411,0.038943477146250786,0.621105354113521,0.023084687617560922,0.8450000000000001,0.019720265943665393,0.15666666666666668,0.020336672464136805,0.6292707624801396,0.04711544169436878,0.0016666666666666666,0.0035136418446315323,0.80713091107837,0.10599936594404663,0.2879670444361286,0.028812997623368575
no_salary_hike_no_attrition,xgboost,22,10,0.8525,0.014724842534109538,0.625194169109777,0.025874095066363727,0.6020049480132876,0.024694396080032988,0.8048819382897774,0.015794599714809093,0.6092686367476283,0.10679935436372086,0.7723395337933153,0.04019902701339092,0.625194169109777,0.025874095066363727,0.8525,0.014724842534109538,0.14916666666666667,0.015441046788541435,0.6403375189140723,0.04378095467899144,0.0016666666666666666,0.0035136418446315323,0.46785835929638725,0.042987457753398045,0.25808209835025364,0.02320136359231726
no_salary_hike_no_attrition_no_department,catboost,21,10,0.8133333333333332,0.020107734523170925,0.5956737062090964,0.029310186979950765,0.5527404834224658,0.025086799599875233,0.766666719642731,0.017843248282721328,0.5168032260292769,0.023660650604004272,0.7258737961341485,0.015822394884258347,0.5956737062090964,0.029310186979950765,0.8133333333333332,0.020107734523170925,0.18916666666666665,0.021889875894272832,0.5657840167730583,0.06012543233503252,0.0025,0.004025382429497066,0.514816847332441,0.041499218302589305,0.3014050019441406,0.024239436204477143
no_salary_hike_no_attrition_no_department,lightgbm,21,10,0.835,0.018341748910243514,0.6135806374508734,0.026798754852309998,0.5938216782188664,0.02715265833470449,0.7928316523400307,0.01802756759279675,0.6016493538672373,0.06896860687466998,0.7638868162634599,0.028214399510959377,0.6135806374508734,0.026798754852309998,0.835,0.018341748910243514,0.16666666666666666,0.018839805508681303,0.6097601501794278,0.04765489697126729,0.0016666666666666666,0.0035136418446315323,0.8160800878132637,0.09628506675520916,0.29845275360881407,0.02538187108040114
no_salary_hike_no_attrition_no_department,xgboost,21,10,0.8458333333333334,0.019739820004933177,0.6248142813024846,0.02851160286591611,0.5965327889347274,0.03002058309325112,0.7994714502448866,0.020392214362192473,0.5997045506883184,0.11303650009022034,0.7679273954729343,0.04469112271949042,0.6248142813024846,0.02851160286591611,0.8458333333333334,0.019739820004933177,0.15583333333333332,0.02080553701230445,0.6330151835096145,0.05161730736774852,0.0016666666666666666,0.0035136418446315323,0.4798115950445315,0.0381767050138088,0.26611188588928736,0.01908714838889832
no_salary_hike_no_department,catboost,22,10,0.8100000000000002,0.017916128329552337,0.5902028451483987,0.025342661155970232,0.5490889720040475,0.02183400991130119,0.7634145547007012,0.01607655210979631,0.5144314511465481,0.020659471044975296,0.7226152860378103,0.014266069627156559,0.5902028451483987,0.025342661155970232,0.8100000000000002,0.017916128329552337,0.19166666666666665,0.018425693279752228,0.5616857067769481,0.04815097001868962,0.0016666666666666666,0.0035136418446315323,0.5153008038266571,0.044123511895847456,0.3028041866047776,0.025627095893790277
no_salary_hike_no_department,lightgbm,22,10,0.8383333333333333,0.019325030145473425,0.6205711469413829,0.03065899088432329,0.6048152500912372,0.027978833148234343,0.7980565380908071,0.017834879011223128,0.6638434966751381,0.12318127876247607,0.786566459250599,0.0424720662820725,0.6205711469413829,0.03065899088432329,0.8383333333333333,0.019325030145473425,0.16333333333333333,0.01932503014547343,0.6188953169562693,0.04726475663016492,0.0016666666666666666,0.0035136418446315323,0.808077545833372,0.08848069077059997,0.2987328100697372,0.02349663316244949
no_salary_hike_no_department,xgboost,22,10,0.8474999999999999,0.021173154444621676,0.6277571717453749,0.030622138532089616,0.6016483843177246,0.03489726834835482,0.8017973023790125,0.02257767420020189,0.6333807912536566,0.1483363043373971,0.7795151155622991,0.0569939049327016,0.6277571717453749,0.030622138532089616,0.8474999999999999,0.021173154444621676,0.15416666666666665,0.022652092264305684,0.6370085516141596,0.05543266951206511,0.0016666666666666666,0.0035136418446315323,0.4845305240845126,0.037321045649264833,0.26701553358176244,0.019155409503972508
pre_evaluation_features_only,catboost,22,10,0.8150000000000001,0.018341748910243528,0.6017495279473501,0.022704863514404067,0.5567283135865514,0.02099095594059805,0.768702175583545,0.015924934970645028,0.5193625479848223,0.021662577459763663,0.7283441854950181,0.013666372799443296,0.6017495279473501,0.022704863514404067,0.8150000000000001,0.018341748910243528,0.18666666666666668,0.01932503014547344,0.5791303651356009,0.047593617491271,0.0016666666666666666,0.0035136418446315323,0.5107705347223614,0.04392425878784694,0.29949319053473056,0.025073839081378106
pre_evaluation_features_only,lightgbm,22,10,0.8450000000000001,0.019720265943665393,0.621105354113521,0.023084687617560922,0.602836850516357,0.020880268944861256,0.8016460726564167,0.01589091323815076,0.6244681156312559,0.1069229771667392,0.7758078433923411,0.038943477146250786,0.621105354113521,0.023084687617560922,0.8450000000000001,0.019720265943665393,0.15666666666666668,0.020336672464136805,0.6292707624801396,0.04711544169436878,0.0016666666666666666,0.0035136418446315323,0.80713091107837,0.10599936594404663,0.2879670444361286,0.028812997623368575
pre_evaluation_features_only,xgboost,22,10,0.8525,0.014724842534109538,0.625194169109777,0.025874095066363727,0.6020049480132876,0.024694396080032988,0.8048819382897774,0.015794599714809093,0.6092686367476283,0.10679935436372086,0.7723395337933153,0.04019902701339092,0.625194169109777,0.025874095066363727,0.8525,0.014724842534109538,0.14916666666666667,0.015441046788541435,0.6403375189140723,0.04378095467899144,0.0016666666666666666,0.0035136418446315323,0.46785835929638725,0.042987457753398045,0.25808209835025364,0.02320136359231726
