run_id,repeated_contract_sha256,scientific_input_sha256,repetition,outer_seed,inner_seed,model_seed,fold_contract_hash,dataset_key,model_name,metric,value
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,nll_log_loss,0.6148040940083381
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,ordinal_mae,0.19083333333333333
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,quadratic_weighted_kappa,0.6122925093570099
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,ranked_probability_score,0.0784061478632973
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,two_level_reversal_rate,0.0008333333333333334
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,weighted_f1,0.7908263938050142
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,weighted_precision,0.7764660020854782
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,lightgbm,weighted_recall,0.81
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,accuracy,0.6108333333333333
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,adjacent_accuracy,0.9883333333333333
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,balanced_accuracy,0.5361237585222581
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,ece_confidence,0.10567161996421275
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,macro_f1,0.5029693547814353
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,macro_precision,0.49461292093087605
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,macro_recall,0.5361237585222581
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,multiclass_brier,0.4877989863364206
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,nll_log_loss,0.7787322563704244
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,ordinal_mae,0.4008333333333333
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,quadratic_weighted_kappa,0.3824888892483511
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,ranked_probability_score,0.1242335225310794
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,two_level_reversal_rate,0.011666666666666667
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,weighted_f1,0.6386015127303717
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,weighted_precision,0.6864513794751994
phase1c_v3_20260903T215015Z_78649c4,5681e521cfbaff5963494212fcc047116056fd7d66393346df0463aef7553af9,b5c5df19ecb1a3d61e01fbfae30f5774b8659d7b038f15ae93adee008130f7da,1,1042,1043,1044,da8d7970b677b46102cab6e831bfdc4847f0d849a5bd1c0be60798500e97cde0,inx_primary,logistic_regression,weighted_recall,0.6108333333333333
