min_support,attribute,class_label,metric,n_groups_included,max_gap,min,max
30,BusinessTravelFrequency,4,mean_predicted_probability,2,0.026932297394833465,0.11629681460537508,0.14322911200020855
30,EducationBackground,2,positive_prediction_rate,2,0.045138888888888895,0.09375,0.1388888888888889
30,EducationBackground,2,tpr_equal_opportunity,2,0.06818181818181823,0.75,0.8181818181818182
30,EducationBackground,2,fpr,2,0.016666666666666666,0.0,0.016666666666666666
30,EducationBackground,2,precision,2,0.09999999999999998,0.9,1.0
30,EducationBackground,2,mean_predicted_probability,2,0.027792652620500707,0.16389503699753258,0.19168768961803329
30,EducationBackground,3,positive_prediction_rate,2,0.02083333333333337,0.7916666666666666,0.8125
30,EducationBackground,3,tpr_equal_opportunity,2,0.0,1.0,1.0
30,EducationBackground,3,fpr,2,0.06818181818181818,0.18181818181818182,0.25
30,EducationBackground,3,precision,2,0.036437246963562764,0.9122807017543859,0.9487179487179487
30,EducationBackground,3,mean_predicted_probability,2,0.026104819367688714,0.6758494016618359,0.7019542210295246
30,EducationBackground,4,positive_prediction_rate,2,0.024305555555555552,0.06944444444444445,0.09375
30,EducationBackground,4,tpr_equal_opportunity,2,0.19318181818181823,0.625,0.8181818181818182
30,EducationBackground,4,fpr,2,0.0,0.0,0.0
30,EducationBackground,4,precision,2,0.0,1.0,1.0
30,EducationBackground,4,mean_predicted_probability,2,0.0016878332528120765,0.13246290872013075,0.13415074197294283
30,EmpDepartment,2,positive_prediction_rate,3,0.23076923076923078,0.0,0.23076923076923078
30,EmpDepartment,2,tpr_equal_opportunity,3,0.9333333333333333,0.0,0.9333333333333333
30,EmpDepartment,2,fpr,3,0.04918032786885246,0.0,0.04918032786885246
30,EmpDepartment,2,precision,3,1.0,0.0,1.0
30,EmpDepartment,2,mean_predicted_probability,3,0.0793007193774033,0.13519947844075494,0.21450019781815824
30,EmpDepartment,3,positive_prediction_rate,3,0.2137907137907138,0.7051282051282052,0.918918918918919
30,EmpDepartment,3,tpr_equal_opportunity,3,0.03703703703703709,0.9629629629629629,1.0
30,EmpDepartment,3,fpr,3,0.275,0.125,0.4
30,EmpDepartment,3,precision,3,0.028787878787878807,0.9166666666666666,0.9454545454545454
30,EmpDepartment,3,mean_predicted_probability,3,0.07062852516420903,0.6552438415986231,0.7258723667628322
30,EmpDepartment,4,positive_prediction_rate,3,0.024132730015082968,0.0641025641025641,0.08823529411764706
30,EmpDepartment,4,tpr_equal_opportunity,3,0.19047619047619047,0.6666666666666666,0.8571428571428571
30,EmpDepartment,4,fpr,3,0.0,0.0,0.0
30,EmpDepartment,4,precision,3,0.0,1.0,1.0
30,EmpDepartment,4,mean_predicted_probability,3,0.008672194213194095,0.1302559605832187,0.1389281547964128
30,Gender,2,positive_prediction_rate,2,0.04166666666666666,0.125,0.16666666666666666
30,Gender,2,tpr_equal_opportunity,2,0.10185185185185186,0.8148148148148148,0.9166666666666666
30,Gender,2,fpr,2,0.005189255189255192,0.011904761904761904,0.017094017094017096
30,Gender,2,precision,2,0.0,0.9166666666666666,0.9166666666666666
30,Gender,2,mean_predicted_probability,2,0.01853708658570921,0.17728171488405728,0.1958188014697665
30,Gender,3,positive_prediction_rate,2,0.01736111111111116,0.7638888888888888,0.78125
30,Gender,3,tpr_equal_opportunity,2,0.019607843137254943,0.9803921568627451,1.0
30,Gender,3,fpr,2,0.15113871635610765,0.08695652173913043,0.23809523809523808
30,Gender,3,precision,2,0.06424242424242432,0.9090909090909091,0.9733333333333334
30,Gender,3,mean_predicted_probability,2,0.007570765252085554,0.672723435908607,0.6802942011606925
30,Gender,4,positive_prediction_rate,2,0.024305555555555552,0.06944444444444445,0.09375
30,Gender,4,tpr_equal_opportunity,2,0.1515151515151516,0.6666666666666666,0.8181818181818182
30,Gender,4,fpr,2,0.0,0.0,0.0
30,Gender,4,precision,2,0.0,1.0,1.0
30,Gender,4,mean_predicted_probability,2,0.010966321333623574,0.13145776262162656,0.14242408395525014
30,MaritalStatus,2,positive_prediction_rate,3,0.09714285714285713,0.09333333333333334,0.19047619047619047
30,MaritalStatus,2,tpr_equal_opportunity,3,0.19999999999999996,0.8,1.0
30,MaritalStatus,2,fpr,3,0.024096385542168676,0.0,0.024096385542168676
30,MaritalStatus,2,precision,3,0.11111111111111116,0.8888888888888888,1.0
30,MaritalStatus,2,mean_predicted_probability,3,0.06541698377139954,0.1499192707483077,0.21533625451970723
30,MaritalStatus,3,positive_prediction_rate,3,0.06428571428571428,0.7523809523809524,0.8166666666666667
30,MaritalStatus,3,tpr_equal_opportunity,3,0.025974025974025983,0.974025974025974,1.0
30,MaritalStatus,3,fpr,3,0.12380952380952381,0.14285714285714285,0.26666666666666666
30,MaritalStatus,3,precision,3,0.03099974166881936,0.9183673469387755,0.9493670886075949
30,MaritalStatus,3,mean_predicted_probability,3,0.03728128111073692,0.6597441940264162,0.6970254751371531
30,MaritalStatus,4,positive_prediction_rate,3,0.11333333333333334,0.03333333333333333,0.14666666666666667
30,MaritalStatus,4,tpr_equal_opportunity,3,0.6,0.4,1.0
30,MaritalStatus,4,fpr,3,0.0,0.0,0.0
30,MaritalStatus,4,precision,3,0.0,1.0,1.0
30,MaritalStatus,4,mean_predicted_probability,3,0.05534121520239764,0.1135961913657879,0.16893740656818554
