run_id,config_hash,policy,attribute,group_value,interpretation_category,n_samples,minimum_group_support_threshold,group_support_eligible,metric,class_label,metric_value,metric_denominator,minimum_metric_denominator_threshold,metric_denominator_eligible,eligible_for_gap
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,accuracy,,0.8571428571428571,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,macro_f1,,0.6218788078902641,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,positive_prediction_rate,2.0,0.1986062717770035,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,true_positive_rate,2.0,0.96,50,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,false_positive_rate,2.0,0.0379746835443038,237,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,precision,2.0,0.8421052631578947,57,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,mean_predicted_probability,2.0,0.1818757130928096,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,positive_prediction_rate,3.0,0.794425087108014,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,true_positive_rate,3.0,0.9563106796116505,206,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,false_positive_rate,3.0,0.38271604938271603,81,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,precision,3.0,0.8640350877192983,228,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,mean_predicted_probability,3.0,0.7334127841348588,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,positive_prediction_rate,4.0,0.006968641114982578,287,30,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,true_positive_rate,4.0,0.03225806451612903,31,10,True,True
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition,Age,40-49,protected_or_sensitive_descriptive_audit,287,30,True,false_positive_rate,4.0,0.00390625,256,10,True,True
