selection_objective,model,metric,value
qwk,logistic_regression,ece_confidence,0.07759768055671998
qwk,logistic_regression,macro_f1,0.5013173649029127
qwk,logistic_regression,macro_precision,0.4901606704763599
qwk,logistic_regression,macro_recall,0.5200048921592247
qwk,logistic_regression,multiclass_brier,0.4418092145963785
qwk,logistic_regression,nll_log_loss,0.7149915546600014
qwk,logistic_regression,ordinal_mae,0.36083333333333334
qwk,logistic_regression,quadratic_weighted_kappa,0.36564045651965427
qwk,logistic_regression,ranked_probability_score,0.11311317980437842
qwk,logistic_regression,two_level_reversal_rate,0.0125
qwk,logistic_regression,weighted_f1,0.6646396956271355
qwk,logistic_regression,weighted_precision,0.683250090331977
qwk,logistic_regression,weighted_recall,0.6516666666666666
qwk,proportional_odds_logistic,accuracy,0.48333333333333334
qwk,proportional_odds_logistic,adjacent_accuracy,0.9875
qwk,proportional_odds_logistic,balanced_accuracy,0.5835535758157193
qwk,proportional_odds_logistic,ece_confidence,0.27174041583749187
qwk,proportional_odds_logistic,macro_f1,0.4630525078185715
qwk,proportional_odds_logistic,macro_precision,0.4841096941330747
qwk,proportional_odds_logistic,macro_recall,0.5835535758157193
qwk,proportional_odds_logistic,multiclass_brier,0.6337205916435984
qwk,proportional_odds_logistic,nll_log_loss,0.9634067152922641
qwk,proportional_odds_logistic,ordinal_mae,0.5291666666666667
qwk,proportional_odds_logistic,quadratic_weighted_kappa,0.39831528279181705
qwk,proportional_odds_logistic,ranked_probability_score,0.1521842258715806
qwk,proportional_odds_logistic,two_level_reversal_rate,0.0125
qwk,proportional_odds_logistic,weighted_f1,0.5161249924192067
qwk,proportional_odds_logistic,weighted_precision,0.6868681105043921
qwk,proportional_odds_logistic,weighted_recall,0.48333333333333334
qwk,random_forest,accuracy,0.845
qwk,random_forest,adjacent_accuracy,0.9983333333333333
qwk,random_forest,balanced_accuracy,0.6260193289139478
qwk,random_forest,ece_confidence,0.21709316668574483
qwk,random_forest,macro_f1,0.5906004509221857
qwk,random_forest,macro_precision,0.5589752029844196
qwk,random_forest,macro_recall,0.6260193289139478
qwk,random_forest,multiclass_brier,0.3465901383850748
qwk,random_forest,nll_log_loss,0.6060394256999094
qwk,random_forest,ordinal_mae,0.15666666666666668
qwk,random_forest,quadratic_weighted_kappa,0.6335085196543782
qwk,random_forest,ranked_probability_score,0.08320355377916863
qwk,random_forest,two_level_reversal_rate,0.0016666666666666668
qwk,random_forest,weighted_f1,0.7968691223290472
qwk,random_forest,weighted_precision,0.7539261026991441
qwk,random_forest,weighted_recall,0.845
qwk,xgboost,accuracy,0.8491666666666666
qwk,xgboost,adjacent_accuracy,0.9983333333333333
qwk,xgboost,balanced_accuracy,0.6300701344521675
qwk,xgboost,ece_confidence,0.06346106345740139
qwk,xgboost,macro_f1,0.6013783576379511
qwk,xgboost,macro_precision,0.6162492531770253
qwk,xgboost,macro_recall,0.6300701344521675
qwk,xgboost,multiclass_brier,0.2668024727967003
qwk,xgboost,nll_log_loss,0.47118900878320025
qwk,xgboost,ordinal_mae,0.1525
qwk,xgboost,quadratic_weighted_kappa,0.6417784645641638
qwk,xgboost,ranked_probability_score,0.06746743582982079
qwk,xgboost,two_level_reversal_rate,0.0016666666666666668
qwk,xgboost,weighted_f1,0.8029696144234663
qwk,xgboost,weighted_precision,0.775155411842594
qwk,xgboost,weighted_recall,0.8491666666666666
