metric,direction,model,macro_f1_selection_value,qwk_selection_value,qwk_minus_macro_f1_selection,absolute_effect_magnitude,macro_f1_selection_rank,qwk_selection_rank,rank_position_change
quadratic_weighted_kappa,higher,xgboost,0.567602077831626,0.6417784645641638,0.07417638673253779,0.07417638673253779,3,1,-2
quadratic_weighted_kappa,higher,proportional_odds_logistic,0.3927083405547429,0.39831528279181705,0.005606942237074142,0.005606942237074142,5,5,0
quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,0.5549741277609709,0.6318874254310964,0.07691329767012556,0.07691329767012556,4,3,-1
ordinal_mae,lower,logistic_regression,0.355,0.36083333333333334,0.005833333333333357,0.005833333333333357,5,5,0
ordinal_mae,lower,random_forest,0.15833333333333333,0.15666666666666668,-0.0016666666666666496,0.0016666666666666496,1,3,2
ordinal_mae,lower,lightgbm,0.19833333333333333,0.17,-0.02833333333333332,0.02833333333333332,2,4,2
ordinal_mae,lower,xgboost,0.24333333333333335,0.1525,-0.09083333333333335,0.09083333333333335,3,1,-2
ordinal_mae,lower,proportional_odds_logistic,0.4683333333333333,0.5291666666666667,0.06083333333333335,0.06083333333333335,6,6,0
ordinal_mae,lower,cumulative_threshold_xgboost,0.31416666666666665,0.15333333333333332,-0.16083333333333333,0.16083333333333333,4,2,-2
ranked_probability_score,lower,logistic_regression,0.11341442812838876,0.11311317980437842,-0.0003012483240103364,0.0003012483240103364,5,5,0
ranked_probability_score,lower,random_forest,0.08217810547034922,0.08320355377916863,0.0010254483088194127,0.0010254483088194127,2,4,2
ranked_probability_score,lower,lightgbm,0.08040618857328805,0.07561283325625917,-0.0047933553170288745,0.0047933553170288745,1,3,2
ranked_probability_score,lower,xgboost,0.08597383249482213,0.06746743582982079,-0.01850639666500134,0.01850639666500134,3,2,-1
ranked_probability_score,lower,proportional_odds_logistic,0.14047979116106593,0.1521842258715806,0.01170443471051466,0.01170443471051466,6,6,0
ranked_probability_score,lower,cumulative_threshold_xgboost,0.10292624128447324,0.06658639841901966,-0.03633984286545358,0.03633984286545358,4,1,-3
nll_log_loss,lower,logistic_regression,0.7142190792589433,0.7149915546600014,0.0007724754010580703,0.0007724754010580703,4,5,1
nll_log_loss,lower,random_forest,0.5982140010442769,0.6060394256999094,0.007825424655632518,0.007825424655632518,3,3,0
nll_log_loss,lower,lightgbm,0.5882905279384019,0.6548838613838496,0.06659333344544771,0.06659333344544771,2,4,2
nll_log_loss,lower,xgboost,0.5514626110693018,0.47118900878320025,-0.08027360228610159,0.08027360228610159,1,1,0
nll_log_loss,lower,proportional_odds_logistic,0.8981885257561593,0.9634067152922641,0.06521818953610481,0.06521818953610481,5,6,1
nll_log_loss,lower,cumulative_threshold_xgboost,1.3053420590697462,0.4886146025292758,-0.8167274565404704,0.8167274565404704,6,2,-4
multiclass_brier,lower,logistic_regression,0.4414988252803433,0.4418092145963785,0.00031038931603522,0.00031038931603522,5,5,0
multiclass_brier,lower,random_forest,0.3412800646473824,0.3465901383850748,0.005310073737692378,0.005310073737692378,2,4,2
multiclass_brier,lower,lightgbm,0.31728849312284085,0.2988229498980066,-0.018465543224834235,0.018465543224834235,1,3,2
multiclass_brier,lower,xgboost,0.34260632657334306,0.2668024727967003,-0.07580385377664278,0.07580385377664278,3,2,-1
multiclass_brier,lower,proportional_odds_logistic,0.5790612249553473,0.6337205916435984,0.05465936668825111,0.05465936668825111,6,6,0
multiclass_brier,lower,cumulative_threshold_xgboost,0.4156397748910172,0.26274312036195957,-0.15289665452905765,0.15289665452905765,4,1,-3
ece_confidence,lower,logistic_regression,0.08149117721287089,0.07759768055671998,-0.0038934966561509077,0.0038934966561509077,3,3,0
ece_confidence,lower,random_forest,0.2085914992186787,0.21709316668574483,0.008501667467066126,0.008501667467066126,6,5,-1
ece_confidence,lower,lightgbm,0.08637988509260462,0.10529197130962646,0.01891208621702184,0.01891208621702184,4,4,0
ece_confidence,lower,xgboost,0.03754265683135832,0.06346106345740139,0.02591840662604307,0.02591840662604307,2,2,0
ece_confidence,lower,proportional_odds_logistic,0.2066473313133832,0.27174041583749187,0.06509308452410867,0.06509308452410867,5,6,1
ece_confidence,lower,cumulative_threshold_xgboost,0.036279059021035225,0.030058300534922942,-0.006220758486112282,0.006220758486112282,1,1,0
two_level_reversal_rate,lower,logistic_regression,0.0125,0.0125,0.0,0.0,6,5,-1
two_level_reversal_rate,lower,random_forest,0.0016666666666666668,0.0016666666666666668,0.0,0.0,2,3,1
