method,random_repetition,deleted_feature_count,n_samples,mean_probability_drop,sample_sd_probability_drop,median_probability_drop,mean_raw_margin_drop,sample_sd_raw_margin_drop,median_raw_margin_drop,positive_probability_drop_fraction
random,8,3,1200,0.065526159180385,0.19847202985039472,0.011909469809537304,0.28887181463845385,1.191770036552806,0.03840628266334534,0.6066666666666667
random,8,5,1200,0.09858519329547559,0.23838675083228572,0.0259767029554811,0.44121977916380273,1.472321749350875,0.08184024691581726,0.6616666666666666
random,9,1,1200,0.019520859512618564,0.1158115987548169,0.0,0.07355004841190142,0.6438828909883053,0.0,0.37583333333333335
random,9,3,1200,0.06384466683695646,0.19645200806331306,0.010454374127530142,0.26141850304712233,1.1259463890103445,0.03964678943157196,0.6008333333333333
random,9,5,1200,0.10539376047209185,0.24763671835459325,0.02335493499622826,0.4711730748473201,1.5044709010193171,0.09296762943267822,0.6566666666666666
random,10,1,1200,0.019793666038651046,0.10018785358714355,0.0,0.07081955877210323,0.5449203473975168,0.0,0.3933333333333333
random,10,3,1200,0.06584427888620004,0.19421677425989498,0.008436270777064658,0.26401230960313116,1.1221625610505177,0.036844362737610936,0.6
random,10,5,1200,0.10899277243605686,0.24523601372674164,0.025466047640556322,0.4488669864841116,1.4676144341064943,0.09500706195831299,0.6525
random,11,1,1200,0.019854174924711813,0.10828988663879788,0.0,0.07820946478246091,0.6051340094509364,0.0,0.39166666666666666
random,11,3,1200,0.06376918496344668,0.19423995909818143,0.00928067586488246,0.27227969020954335,1.1345359594012174,0.034965455532073975,0.6033333333333334
random,11,5,1200,0.1011879363243119,0.23663015815921185,0.029791565536481268,0.41822587403488193,1.3813155089152858,0.10055913031101227,0.6641666666666667
random,12,1,1200,0.018329276974792565,0.11083898243132588,0.0,0.07668776790068174,0.6503338309371409,0.0,0.38666666666666666
random,12,3,1200,0.05250126724337346,0.17601233774164052,0.007424851263231114,0.20463593350412945,0.982184566223497,0.02710360288619995,0.5925
random,12,5,1200,0.09265934557224333,0.2278348362505106,0.023653478818472795,0.3850457761529833,1.355575662807449,0.0835919976234436,0.6566666666666666
